id,create_time,user_name,song,song_id,n_likes,n_shares,n_comments,n_plays,n_followers,n_total_likes,n_total_vids
6878923063187033345,1601624087,kylethomas,Cat Lick,6643691676638382853,1800000,2855,9559,10500000,18200000,902900000,7582
6860607547250871558,1597359677,snoopyjwoo,Cat Lick,6643691676638382853,1700000,33000,6460,6500000,109900,3000000,397
6887737214067920130,1603676293,indiskovar,Cat Lick,6643691676638382853,1700000,9477,12800,17900000,3900000,46600000,336
6789702856476855557,1580850889,abbyrartistry,Cat Lick,6643691676638382853,1600000,12800,7178,9800000,13700000,708600000,813
6873456109068258561,1600351212,kylethomas,Cat Lick,6643691676638382853,1400000,2347,6292,9000000,18200000,902900000,7582
6869098982711364869,1599336744,abbyrartistry,Cat Lick,6643691676638382853,1300000,3145,7691,5900000,13700000,708600000,813
6788688479527226629,1580614876,benjikrol,Cat Lick,6643691676638382853,1200000,14600,8393,7200000,12400000,688300000,1090
6692686888446201094,1558262596,jennifererica,Cat Lick,6643691676638382853,864200,9777,3519,8500000,4600000,224800000,4002
6686560174456442118,1556836110,yohannypolacre3,Cat Lick,6643691676638382853,778800,66700,42900,9700000,192600,1200000,295
6689218223058980101,1557454984,ignaciaa_antonia,Cat Lick,6643691676638382853,747200,8890,4932,8700000,18800000,954700000,4030
6882636473305238786,1602488683,kylethomas,Cat Lick,6643691676638382853,728400,1217,7277,4600000,18200000,902900000,7582
6877810824958758145,1601365124,kylethomas,Cat Lick,6643691676638382853,670200,821,4233,3700000,18200000,902900000,7582
6887201192825359617,1603551488,benjikrol,Cat Lick,6643691676638382853,633800,2089,6159,2600000,12400000,688300000,1090
6693879113989491973,1558540183,skyandtami,Cat Lick,6643691676638382853,625700,6727,7101,4300000,14200000,926000000,2646
6834522892479302918,1591286366,larihbatatinha,Cat Lick,6643691676638382853,605300,7609,7361,6700000,1300000,19200000,311
6685768214435073286,1556651717,amadorat,Cat Lick,6643691676638382853,585500,11400,4908,7900000,13700000,491600000,941
6791573138649009413,1581286348,143joannagc,Cat Lick,6643691676638382853,584200,1634,958,3100000,3300000,178500000,1616
6880679122897603841,1602032953,matispano_,Cat Lick,6643691676638382853,562300,624,3774,2600000,6000000,234900000,1520
6801759935525915909,1583658148,movemoon,Cat Lick,6643691676638382853,544000,1182,1477,30500000,290900,5400000,151
6826570978026376454,1589434920,danyancatsq,Cat Lick,6643691676638382853,535800,18100,7710,8400000,6500000,71100000,209
6688080600722574597,1557190111,ignaciaa_antonia,Cat Lick,6643691676638382853,530500,3714,9355,5400000,18800000,954700000,4030
6694691438258556166,1558729317,ignaciaa_antonia,Cat Lick,6643691676638382853,518700,3197,2239,4600000,18800000,954700000,4030
6808417934105414913,1585208331,cho_co26,Cat Lick,6643691676638382853,484000,6411,3754,4200000,2300000,30700000,416
6879868605027142913,1601844238,kylethomas,Cat Lick,6643691676638382853,469900,764,5434,2800000,18200000,902900000,7582
6865041387906157829,1598392011,the.batpam,Cat Lick,6643691676638382853,440800,4465,1933,5500000,614800,2900000,423
6881177530624118017,1602148995,kylethomas,Cat Lick,6643691676638382853,436100,718,3537,3000000,18200000,902900000,7582
6878423927840967942,1601507906,parisdylan,Cat Lick,6643691676638382853,430700,32000,0,5200000,344600,1200000,245
6685282668717804805,1556538667,ericwakeham,Cat Lick,6643691676638382853,412200,3138,0,4700000,3800000,148500000,2960
6879348392452050178,1601723119,kylethomas,Cat Lick,6643691676638382853,393200,368,4247,2100000,18200000,902900000,7582
6866650192574237954,1598766588,cho_co26,Cat Lick,6643691676638382853,391600,1812,3402,1700000,2300000,30700000,416
6871663006632135941,1599933733,clutteredgoth,Cat Lick,6643691676638382853,377500,3658,8761,2700000,245700,2900000,1387
6890551034377145605,1604331500,discorobotdance,Cat Lick,6643691676638382853,369500,720,979,3500000,738300,40400000,1015
6802210479583415558,1583763049,kira_smrn,Cat Lick,6643691676638382853,368000,1022,1469,3500000,3000000,106600000,1147
6878033004275567873,1601416855,kylethomas,Cat Lick,6643691676638382853,365100,920,16200,1800000,18200000,902900000,7582
6871689188278848774,1599939831,allisonxbeck,Cat Lick,6643691676638382853,364600,2441,3893,2700000,1100000,40800000,164
6858394608569797893,1596844438,babyroods,Cat Lick,6643691676638382853,362600,4730,3856,3300000,200700,2100000,393
6877938561929219329,1601394864,larihbatatinha,Cat Lick,6643691676638382853,362200,1683,1734,3100000,1300000,19200000,311
6794576187986529541,1581985550,itsryanshakes,Cat Lick,6643691676638382853,361400,1032,951,2800000,5000000,164400000,899
6860855080652934405,1597417310,babyphaa,Cat Lick,6643691676638382853,361100,2836,2503,1700000,718900,19500000,981
6713586490552618245,1563128675,tearastar,Cat Lick,6643691676638382853,352200,2070,1113,4400000,463000,3300000,522
6797768489860959493,1582728816,alexmymymy,Cat Lick,6643691676638382853,347500,1272,6128,2300000,3300000,58200000,477
6871456435025300738,1599885629,soyishbean,Cat Lick,6643691676638382853,345700,2554,3958,1100000,98800,1300000,140
6876770460630125825,1601122895,cheskaparedesph,Cat Lick,6643691676638382853,344600,2876,5345,2500000,853000,9200000,1295
6792682870851833093,1581544727,kylethomas,Cat Lick,6643691676638382853,327700,1118,2350,2400000,18200000,902900000,7582
6692392168918617350,1558193976,_tamatomo,Cat Lick,6643691676638382853,321300,1118,5569,2400000,5100000,132500000,554
6693225353676066053,1558387967,uhjeremy,Cat Lick,6643691676638382853,319300,5242,4972,3400000,846100,12500000,314
6880921855419616514,1602089466,kylethomas,Cat Lick,6643691676638382853,318700,384,1961,3300000,18200000,902900000,7582
6807762267858390273,1585055672,naenano,Cat Lick,6643691676638382853,317200,7863,4349,3800000,2000000,50900000,402
6690570036144246021,1557769728,juliamenugarcia,Cat Lick,6643691676638382853,316400,2938,0,3700000,15000000,701800000,2491
6884507731034656005,1602924664,ourlovegarage,Cat Lick,6643691676638382853,311800,3792,4018,9000000,70300,434000,46
6868750185221147910,1599255534,sallymcsusan,Cat Lick,6643691676638382853,306800,3274,1622,2100000,337200,3200000,716
6712664582294342918,1562914015,dina,Cat Lick,6643691676638382853,304200,3035,580,3300000,16900000,591300000,1057
6700842438774263041,1560250716,cindypd03,Cat Lick,6643691676638382853,303300,1575,2771,5500000,450200,3500000,711
6690662520476142853,1557791261,thebrookeb,Cat Lick,6643691676638382853,300500,1722,971,2700000,1300000,44200000,940
6860297848055926022,1597287573,snoopyjwoo,Cat Lick,6643691676638382853,297600,2400,1733,1700000,109900,3000000,397
6880986893085936901,1602104646,prollyurmomm,Cat Lick,6643691676638382853,296200,3324,3850,952900,169700,9800000,2240
6862469651209719046,1597793233,kylasxvideos,Cat Lick,6643691676638382853,288100,2501,3594,938200,50100,3200000,793
6868624024696589569,1599226156,cho_co26,Cat Lick,6643691676638382853,286300,1190,1846,1200000,2300000,30700000,416
6878022306053098753,1601414363,kylethomas,Cat Lick,6643691676638382853,279800,267,3296,1400000,18200000,902900000,7582
6856045601524550917,1596297514,aujoir,Cat Lick,6643691676638382853,279200,1302,1180,1300000,31300,1300000,7
6815878018112818437,1586945268,lusik_kar,Cat Lick,6643691676638382853,274900,511,1159,3700000,1500000,11100000,149
6870174714313198849,1599587217,cho_co26,Cat Lick,6643691676638382853,274000,1632,3438,991100,2300000,30700000,416
6678463013835525381,1554950842,totalnerddork,Cat Lick,6643691676638382853,271100,2932,684,3600000,109200,2900000,1341
6690651359995235589,1557788663,fervegs,Cat Lick,6643691676638382853,267600,1815,3853,2700000,7700000,443600000,2991
6885537282095467777,1603164080,submissive_freak,Cat Lick,6643691676638382853,262800,1314,5282,803300,36300,648400,35
6808595482341018885,1585249670,isxaaak,Cat Lick,6643691676638382853,261900,2200,1662,3700000,28800,268900,3
6690217500598078726,1557687647,itayvargas,Cat Lick,6643691676638382853,257700,1906,1154,2500000,13900000,628600000,1983
6801398999984131334,1583574109,dednahype,Cat Lick,6643691676638382853,257100,196,346,6100000,10900000,143300000,328
6881521164410227969,1602229005,kylethomas,Cat Lick,6643691676638382853,255700,411,1831,1400000,18200000,902900000,7582
6881341379864169730,1602187145,matispano_,Cat Lick,6643691676638382853,255400,407,2611,1200000,6000000,234900000,1520
6694593852180811013,1558706596,ariannmusic,Cat Lick,6643691676638382853,253800,900,1032,2900000,6500000,306300000,3555
6890441907730779393,1604306027,kylethomas,Cat Lick,6643691676638382853,253300,376,1887,1600000,18200000,902900000,7582
6877952154317901061,1601398080,otaku.ratu,Cat Lick,6643691676638382853,249700,5194,4878,897800,12000,267500,13
6889821462102985986,1604161567,yuki_mei_ito,Cat Lick,6643691676638382853,245100,4878,0,2100000,172400,766700,38
6880525650432642305,1601997217,kylethomas,Cat Lick,6643691676638382853,241400,524,15100,1300000,18200000,902900000,7582
6880062554299731201,1601889395,kylethomas,Cat Lick,6643691676638382853,238900,283,2181,1200000,18200000,902900000,7582
6689958314475785477,1557627300,tatiifernandez._,Cat Lick,6643691676638382853,236100,2044,877,2200000,6800000,250700000,2361
6715122494786817286,1563486300,hahamama11,Cat Lick,6643691676638382853,235500,484,959,1900000,256700,8100000,653
6887000082772724994,1603504665,pfabianmg,Cat Lick,6643691676638382853,235300,3202,4268,968700,117500,1700000,222
6878791945662074113,1601593560,kylethomas,Cat Lick,6643691676638382853,234300,569,5912,1200000,18200000,902900000,7582
6882300802946305281,1602410527,kylethomas,Cat Lick,6643691676638382853,232600,345,2068,1300000,18200000,902900000,7582
6888132345195482370,1603768290,queenluvs14,Cat Lick,6643691676638382853,230800,776,1301,1300000,5600000,149600000,2793
6873208874552298757,1600293655,emolouy,Cat Lick,6643691676638382853,226000,3916,1833,2000000,71100,722000,55
6879049465068539137,1601653516,kylethomas,Cat Lick,6643691676638382853,226000,181,1507,1200000,18200000,902900000,7582
6879023543489678593,1601647480,kylethomas,Cat Lick,6643691676638382853,224700,251,2277,1100000,18200000,902900000,7582
6799883895438314758,1583221352,_yousin,Cat Lick,6643691676638382853,221100,2703,1066,2100000,75400,1200000,57
6846020729700388102,1593963415,loore_s2,Cat Lick,6643691676638382853,220200,9186,3171,3000000,568000,2900000,243
6802211476275776774,1583763281,kira_smrn,Cat Lick,6643691676638382853,215900,367,236,1600000,3000000,106600000,1147
6877535434226928898,1601301003,inkamagnaye,Cat Lick,6643691676638382853,215400,354,1690,1600000,1100000,19700000,596
6863739988408814849,1598089008,queenluvs14,Cat Lick,6643691676638382853,215300,601,1358,1500000,5600000,149600000,2793
6849109422715702534,1594682558,estiven7w7,Cat Lick,6643691676638382853,213300,7450,6477,1800000,111700,1800000,536
6878581566772186369,1601544576,kylethomas,Cat Lick,6643691676638382853,211200,242,1459,967700,18200000,902900000,7582
6696934471872023814,1559251564,kylethomas,Cat Lick,6643691676638382853,210500,2780,2068,1700000,18200000,902900000,7582
6879716395601497346,1601808798,aralindo8,Cat Lick,6643691676638382853,209600,2415,2618,2800000,327000,1500000,661
6880526744374283521,1601997472,fairyfajardokidaaa,Cat Lick,6643691676638382853,209100,1055,2296,1100000,3900000,88000000,1033
6800718875626376454,1583415760,semihsuslu,Cat Lick,6643691676638382853,208700,5739,4296,8000000,8368,324600,351
6788621326472072454,1580599075,gogogabriella,Cat Lick,6643691676638382853,208600,2877,698,1200000,852800,21700000,367
6882051491927002374,1602352520,metro🅱️oolin,Cat Lick,6643691676638382853,208400,2247,1447,748100,311300,10200000,436
6876828462875725061,1601136443,thekarrigantaylor,Cat Lick,6643691676638382853,207400,1416,1146,1800000,2100000,12700000,273
6847099729076129029,1594214646,ana_bastet,Cat Lick,6643691676638382853,206600,5984,7063,3100000,318500,2200000,217
6786634153665268997,1580136401,mozzarellsa,Cat Lick,6643691676638382853,205600,856,1153,2000000,136500,1700000,289
6860230630718967045,1597271919,thelolbitquiin1987,Cat Lick,6643691676638382853,204100,2699,980,2600000,637000,7200000,1019
6870856985944837377,1599746058,ppopgen.angela,Cat Lick,6643691676638382853,204000,1559,1338,2400000,504000,2800000,686
6869816695100361989,1599503848,thekarrigantaylor,Cat Lick,6643691676638382853,202800,1657,985,2200000,2100000,12700000,273
6839486808393387270,1592442119,machikayt,Cat Lick,6643691676638382853,201500,404,950,1600000,2700000,21600000,72
6698693857984384262,1559661203,enyadres,Cat Lick,6643691676638382853,199800,3624,1281,2700000,4400000,70700000,818
6874452085258063109,1600583135,this_is_for_weebs_only,Cat Lick,6643691676638382853,199500,3270,2876,522300,12400,298600,101
6891664255704239362,1604590626,kylethomas,Cat Lick,6643691676638382853,199300,213,1817,1100000,18200000,902900000,7582
6703490246618746114,1560847403,rizkibastarii,Cat Lick,6643691676638382853,199100,3576,1895,5800000,823500,2600000,141
6796657421117836550,1582470123,anny_myrrr_,Cat Lick,6643691676638382853,198700,477,653,1600000,1600000,88900000,2971
6806559454482500865,1584775621,bokosuka_5jc,Cat Lick,6643691676638382853,197000,3817,4172,3200000,23800,527300,14
6870706403779054849,1599711003,shuzo__3120,Cat Lick,6643691676638382853,195200,741,1537,698600,2700000,61600000,773
6888281515923393794,1603803021,anonx.team,Cat Lick,6643691676638382853,200400,677,2211,1400000,114900,2100000,709
6870967415639985410,1599771774,haohawcosplay,Cat Lick,6643691676638382853,194600,2097,3264,1900000,448000,3100000,405
6811499897498520837,1585925906,logaan_x,Cat Lick,6643691676638382853,194300,212,1515,2000000,153800,1700000,585
6689274089376320773,1557467992,elrodcontreras,Cat Lick,6643691676638382853,194100,1548,1198,1800000,21500000,1100000000,1427
6843833217334643974,1593454095,skei_x,Cat Lick,6643691676638382853,193300,1799,2452,1100000,309900,2300000,93
6703795371803462914,1560852576,orghm_,Cat Lick,6643691676638382853,190700,486,1269,3300000,263100,3500000,78
6873973378680737030,1600471657,just_jenoah_,Cat Lick,6643691676638382853,188800,404,842,1800000,972600,28900000,330
6685156104298564869,1556509199,bukkitbrown,Cat Lick,6643691676638382853,188200,1344,664,1500000,2400000,102600000,2292
6892361353261010178,1604752932,vya229,Cat Lick,6643691676638382853,186100,268,1161,2100000,194200,2100000,48
6873914697473707270,1600457994,zakyboi32,Cat Lick,6643691676638382853,184300,1169,3654,481300,20200,254000,86
6701530029513395458,1560352074,lorenzahln,Cat Lick,6643691676638382853,182400,574,857,2900000,360300,1100000,124
6742555266736295174,1569873486,fervegs,Cat Lick,6643691676638382853,181900,429,1064,1100000,7700000,443600000,2991
6841529615123762438,1592917747,senya.jpeg,Cat Lick,6643691676638382853,180800,2541,440,2600000,167500,1600000,570
6865755025461759238,1598558168,manicpixiememegorl,Cat Lick,6643691676638382853,179100,2002,1094,2900000,347300,1700000,449
6797429311591697670,1582649844,babushka.official,Cat Lick,6643691676638382853,178400,539,1280,2000000,71700,938400,111
6748434049632668933,1571242247,peachyburb,Cat Lick,6643691676638382853,177900,1996,1024,1800000,1600000,22500000,400
6886987243324574982,1603501710,abig0r_bunzz,Cat Lick,6643691676638382853,176900,3503,2837,564900,437800,9000000,369
6869636562020338945,1599461906,meelialfaro,Cat Lick,6643691676638382853,176900,1624,1747,1700000,833700,6700000,526
6878413048298704130,1601505340,kylethomas,Cat Lick,6643691676638382853,176800,229,4140,954400,18200000,902900000,7582
6813645894987074818,1586425562,kotaka_miyuu,Cat Lick,6643691676638382853,176600,4376,1116,1800000,542100,7500000,135
6878558676995624194,1601539247,kylethomas,Cat Lick,6643691676638382853,176400,234,3414,921700,18200000,902900000,7582
6885317012214648065,1603112797,wherearemyavocadoestho,Cat Lick,6643691676638382853,174900,149,1026,1700000,98900,1900000,243
6890292285808889094,1604271220,zugzwang.mate,Cat Lick,6643691676638382853,174400,1283,946,481500,204700,4900000,1954
6873886973271035141,1600451542,metro🅱️oolin,Cat Lick,6643691676638382853,171600,3656,3945,425700,311300,10200000,436
6873756742870764806,1600421370,audiodyslexia,Cat Lick,6643691676638382853,171200,574,693,760700,368100,3700000,71
6688015475353324806,1557174948,brunox_official,Cat Lick,6643691676638382853,171000,451,611,2100000,629800,10600000,555
6727010767813512454,1566254251,_tamatomo,Cat Lick,6643691676638382853,170900,356,355,865200,5100000,132500000,554
6795037048513301766,1582092855,bestisky,Cat Lick,6643691676638382853,170800,410,284,943500,134900,738300,522
6858736033203227909,1596923930,meow.jinx,Cat Lick,6643691676638382853,169500,2413,962,1700000,511000,5100000,194
6685031382567095557,1556480160,familyfab76,Cat Lick,6643691676638382853,167700,2700,2155,1700000,242500,3100000,454
6862010293376093445,1597686278,cat_bat_cosplay,Cat Lick,6643691676638382853,167600,849,933,2400000,477600,3400000,608
6864289625230314754,1598216993,monin1689,Cat Lick,6643691676638382853,166500,1229,939,1400000,97300,480700,551
6706007425763347714,1561373348,inidevina,Cat Lick,6643691676638382853,165400,796,2146,2800000,244400,5100000,1697
6680702444583800069,1555472250,rapunzaroo,Cat Lick,6643691676638382853,163800,2514,1447,1800000,230400,3700000,783
6795102942782377222,1582108196,tearastar,Cat Lick,6643691676638382853,162700,1517,1652,1500000,463000,3300000,522
6686861236136578309,1556906206,georgeana18,Cat Lick,6643691676638382853,162400,1502,3509,1800000,662600,7300000,1582
6693895566981598469,1558544014,themojitodaddy,Cat Lick,6643691676638382853,160600,20200,3881,1600000,67000,2100000,159
6880156575764466946,1601911285,kylethomas,Cat Lick,6643691676638382853,159500,152,1124,788300,18200000,902900000,7582
6820516345478647046,1588025212,aylin.criss,Cat Lick,6643691676638382853,158900,1817,1041,1800000,4000000,90000000,638
6871604056624860418,1599919998,kylethomas,Cat Lick,6643691676638382853,158200,204,1867,957600,18200000,902900000,7582
6886604484139584774,1603412592,chasestobbe,Cat Lick,6643691676638382853,158100,2250,2810,647500,492300,6500000,516
6857576720858352897,1596654019,sachi_hime96,Cat Lick,6643691676638382853,158100,286,1267,940000,490500,9000000,415
6886991934930406657,1603502768,pfabianmg,Cat Lick,6643691676638382853,158300,4161,1841,523900,117500,1700000,222
6675566037943078146,1554305399,2160012852,Cat Lick,6643691676638382853,157800,410,253,1500000,164100,638600,564
6878236725378944257,1601464286,kylethomas,Cat Lick,6643691676638382853,157700,207,1324,774100,18200000,902900000,7582
6829639558418779397,1590149376,nail_grad,Cat Lick,6643691676638382853,157000,2290,1966,1000000,72500,1900000,412
6793014752554618118,1581621999,martinadant,Cat Lick,6643691676638382853,156500,206,511,890400,3700000,135600000,1461
6804848542847438086,1584377268,ahonberzhann,Cat Lick,6643691676638382853,156200,849,1204,2900000,382700,2600000,40
6659278017560431873,1550488475,tomjerry120719,Cat Lick,6643691676638382853,156100,506,445,1500000,167000,589700,233
6803661387747921153,1584100862,kenkun_02,Cat Lick,6643691676638382853,156000,1823,2595,909600,1500000,14500000,129
6855043461977099525,1596064184,todocosplays,Cat Lick,6643691676638382853,155400,8825,2118,698400,188100,2600000,768
6751249014773042437,1571897672,jonathanrivera04,Cat Lick,6643691676638382853,154900,1331,708,1200000,2900000,44000000,1444
6799594963932957958,1583154076,milani_t,Cat Lick,6643691676638382853,153900,15400,1364,3300000,25000,294900,105
6879918057184185602,1601855753,theeargirl,Cat Lick,6643691676638382853,153200,188,376,4700000,740100,11200000,436
6849459042549615877,1594763960,tatacalde77,Cat Lick,6643691676638382853,152700,6551,2423,1800000,208100,582800,28
6801800970192817414,1583667702,mytsaa,Cat Lick,6643691676638382853,152700,3605,566,1600000,112400,896400,65
6795497584816426246,1582200087,tatiana_sahar,Cat Lick,6643691676638382853,152200,3497,1543,1500000,38900,1300000,131
